timestamp,day_of_year,minute_of_day,location_index,original_address,demand,order_id
1725286140,246,1179,21,"Swaad, Sector 4, Delhi NCR",1,6141922791
1725287460,246,1201,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6146470153
1725287520,246,1202,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",2,6140815834
1725287700,246,1205,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",2,6147231368
1725287820,246,1207,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",2,6144219290
1725288120,246,1212,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6138384047
1725288540,246,1219,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6144695178
1725288960,246,1226,21,"Swaad, Sector 4, Delhi NCR",2,6145582608
1725289440,246,1234,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6130614779
1725289740,246,1239,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",2,6145794131
1725289980,246,1243,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6146958428
1725290040,246,1244,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",3,6135885301
1725290280,246,1248,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6142740721
1725290460,246,1251,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6147327612
1725290640,246,1254,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6146352103
1725290820,246,1257,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",3,6144627263
1725290940,246,1259,21,"Swaad, Sector 4, Delhi NCR",2,6144881186
1725292140,246,1279,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6145807716
1725292500,246,1285,18,"Swaad, DLF Phase 1, Delhi NCR",1,6147538498
1725292740,246,1289,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",5,6147278398
1725293220,246,1297,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6146867326
1725293640,246,1304,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6141867628
1725294480,246,1318,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6143762267
1725295320,246,1332,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6136823409
1725295320,246,1332,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",3,6146040255
1725295440,246,1334,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6142934034
1725295800,246,1340,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6145309239
1725295860,246,1341,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6146959848
1725296400,246,1350,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6145559363
1725297240,246,1364,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6144433386
1725297540,246,1369,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6145603662
1725298080,246,1378,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",3,6145268388
1725298260,246,1381,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6147861495
1725298440,246,1384,3,"Aura Pizzas, Sector 4, Delhi NCR",3,6144868371
1725298980,246,1393,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",2,6147233556
1725299040,246,1394,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6147242462
1725299580,246,1403,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6139627209
1725301200,246,1430,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6147098530
1725301980,247,3,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6141100415
1725302160,247,6,21,"Swaad, Sector 4, Delhi NCR",1,6145190300
